scenario,name,run_mode,mode,source_set,n_events,expected_steps,expected_steps_set,n_expected_steps,expected_order,observed_steps,n_tagged_steps,chain_steps,n_chain_steps,reconstructability,reconstructability_mode,proxy_reconstructability,step_recall,step_precision,chain_recall,chain_precision,tagger_total_hits,tagger_missing_fields_events,tagger_missing_prefilter_events,tagger_used_prefilter_conditions,tagger_unusable_rules,observed_techniques,aligned_techniques,missing_expected_techniques,unexpected_observed_techniques,failure_keys
SC3,Parallel,single,single,syslog,14677,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,0,14677,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,zeek,5596,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,1517,0,5596,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,auditd,206,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,206,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,zeek+syslog,20273,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,1521,0,20273,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,zeek+auth,8406,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,1520,0,8406,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,auditd+zeek,5802,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,1517,0,5802,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,syslog+auth,17487,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,7,0,17487,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,auditd+syslog,14883,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,0,14883,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,multi,multi,auditd+auth+suricata+syslog+zeek,88674,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,47404,0,88674,2,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1059.006', 'T1105', 'T1110', 'T1543.002', 'T1548.003']","['T1033', 'T1105']","['T1005', 'T1020', 'T1039', 'T1048', 'T1048.003', 'T1059.007', 'T1071.001', 'T1071.002', 'T1074', 'T1074.001', 'T1074.002', 'T1078', 'T1082', 'T1083', 'T1083.001', 'T1083.002', 'T1106', 'T1119', 'T1195', 'T1195.002', 'T1204.002', 'T1498', 'T1567', 'T1567.002', 'T1588', 'T1608', 'T1614']","['T1021.001', 'T1021.004', 'T1053.003', 'T1059.004', 'T1059.006', 'T1110', 'T1543.002', 'T1548.003']",[]
SC4,NPMEX,single,single,syslog,57250,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL']",2,"['INSTALL', 'DOWNLOAD']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,18,0,57250,1,[],,,,,"['MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,auth,2946,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,6,0,2946,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,suricata,116215,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,74257,0,116215,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,zeek,9368,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,2619,0,9368,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,auditd,2491,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,2491,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,zeek+syslog,66618,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL', 'OUTBOUND_CONN']",3,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN']",3,0.75,expected_recall,,0.75,1.0,0.75,1.0,2637,0,66618,2,[],,,,,"['MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
