step,t_first,t_last,n_events,sources
OUTBOUND_CONN,2025-12-14 11:16:15.290604,2025-12-15 14:59:38.427276,76876,suricata;zeek
INSTALL,2025-12-14 14:03:20.188957,2025-12-15 14:45:46.362000,21,auth;syslog
DOWNLOAD,2025-12-14 14:43:14.678000,2025-12-15 14:07:01.585000,3,syslog
