source,n_steps,steps,missing_vs_multi,extra_vs_multi
syslog,2,DOWNLOAD;INSTALL,OUTBOUND_CONN,
auth,1,INSTALL,DOWNLOAD;OUTBOUND_CONN,
suricata,1,OUTBOUND_CONN,DOWNLOAD;INSTALL,
zeek,1,OUTBOUND_CONN,DOWNLOAD;INSTALL,
auditd,0,,DOWNLOAD;INSTALL;OUTBOUND_CONN,
