ts,source,step,exe,cmdline,user,pid,src_ip,src_port,excerpt,source_file
2025-12-10 11:43:27.602,syslog,AUTH,sshd,,system,75642,185.246.128.171,50137,Failed password for invalid user system from 185.246.128.171 port 50137 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:28.744,syslog,AUTH,sshd,,minecraft,75681,125.31.2.160,39940,Failed password for invalid user minecraft from 125.31.2.160 port 39940 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:29.929,syslog,AUTH,sshd,,,75681,,,Disconnected from invalid user minecraft 125.31.2.160 port 39940 [preauth] | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:30.188,syslog,AUTH,sshd,,,75642,,,"Disconnecting invalid user system 185.246.128.171 port 50137: Change of username or service not allowed: (system,ssh-connection) -> (backup,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:32.525,syslog,AUTH,sshd,,,75705,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 user=backup | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:34.789,syslog,AUTH,sshd,,backup,75705,185.246.128.171,36114,Failed password for backup from 185.246.128.171 port 36114 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.169,syslog,AUTH,sshd,,cloudera,75756,185.246.128.171,44295,Invalid user cloudera from 185.246.128.171 port 44295 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.171,syslog,AUTH,sshd,,,75756,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.171,syslog,AUTH,sshd,,,75756,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:42.198,syslog,AUTH,sshd,,cloudera,75756,185.246.128.171,44295,Failed password for invalid user cloudera from 185.246.128.171 port 44295 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:43.465,syslog,AUTH,sshd,,,75756,,,"Disconnecting invalid user cloudera 185.246.128.171 port 44295: Change of username or service not allowed: (cloudera,ssh-connection) -> (alex,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.378,syslog,AUTH,sshd,,alex,75793,185.246.128.171,62249,Invalid user alex from 185.246.128.171 port 62249 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.380,syslog,AUTH,sshd,,,75793,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.380,syslog,AUTH,sshd,,,75793,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:46.623,syslog,AUTH,sshd,,alex,75793,185.246.128.171,62249,Failed password for invalid user alex from 185.246.128.171 port 62249 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:47.281,syslog,AUTH,sshd,,,75793,,,"Disconnecting invalid user alex 185.246.128.171 port 62249: Change of username or service not allowed: (alex,ssh-connection) -> (finance,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:47.559,syslog,AUTH,sshd,,finance,75831,185.246.128.171,9320,Invalid user finance from 185.246.128.171 port 9320 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:47.561,syslog,AUTH,sshd,,,75831,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:47.561,syslog,AUTH,sshd,,,75831,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:49.547,syslog,AUTH,sshd,,finance,75831,185.246.128.171,9320,Failed password for invalid user finance from 185.246.128.171 port 9320 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:50.248,syslog,AUTH,sshd,,,75831,,,"Disconnecting invalid user finance 185.246.128.171 port 9320: Change of username or service not allowed: (finance,ssh-connection) -> (pi,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:56.349,syslog,AUTH,sshd,,pi,75887,185.246.128.171,30141,Invalid user pi from 185.246.128.171 port 30141 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:56.351,syslog,AUTH,sshd,,,75887,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:56.351,syslog,AUTH,sshd,,,75887,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:58.243,syslog,AUTH,sshd,,pi,75887,185.246.128.171,30141,Failed password for invalid user pi from 185.246.128.171 port 30141 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:00.674,syslog,AUTH,sshd,,,75887,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:02.445,syslog,AUTH,sshd,,pi,75887,185.246.128.171,30141,Failed password for invalid user pi from 185.246.128.171 port 30141 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:04.252,syslog,AUTH,sshd,,,75887,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:06.576,syslog,AUTH,sshd,,pi,75887,185.246.128.171,30141,Failed password for invalid user pi from 185.246.128.171 port 30141 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:10.436,syslog,AUTH,sshd,,,75887,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:12.249,syslog,AUTH,sshd,,pi,75887,185.246.128.171,30141,Failed password for invalid user pi from 185.246.128.171 port 30141 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:13.488,syslog,AUTH,sshd,,,75887,,,"Disconnecting invalid user pi 185.246.128.171 port 30141: Change of username or service not allowed: (pi,ssh-connection) -> (sapadm,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:13.488,syslog,AUTH,sshd,,,75887,,,PAM 3 more authentication failures logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:13.488,syslog,AUTH,sshd,,,75887,,,PAM service(sshd) ignoring max retries 4 > 3 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:15.796,syslog,AUTH,sshd,,sapadm,76085,185.246.128.171,42628,Invalid user sapadm from 185.246.128.171 port 42628 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:15.798,syslog,AUTH,sshd,,,76085,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:15.798,syslog,AUTH,sshd,,,76085,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:17.965,syslog,AUTH,sshd,,sapadm,76085,185.246.128.171,42628,Failed password for invalid user sapadm from 185.246.128.171 port 42628 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:18.516,syslog,AUTH,sshd,,,76085,,,"Disconnecting invalid user sapadm 185.246.128.171 port 42628: Change of username or service not allowed: (sapadm,ssh-connection) -> (craft,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:25.168,syslog,AUTH,sshd,,craft,76141,185.246.128.171,49411,Invalid user craft from 185.246.128.171 port 49411 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:25.170,syslog,AUTH,sshd,,,76141,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:25.170,syslog,AUTH,sshd,,,76141,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:44:26.706,syslog,AUTH,sshd,,craft,76141,185.246.128.171,49411,Failed password for invalid user craft from 185.246.128.171 port 49411 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
